value, keys inserted, insertion time (s), keys retrieved, retrieval time (s)
658, 100000,0.607866,100000,3.421127
659, 100000,0.555448,100000,3.371455
660, 100000,0.457289,100000,3.858380
661, 100000,0.642914,100000,3.120904
662, 100000,0.643088,100000,3.160318
663, 100000,0.437245,100000,3.659129
664, 100000,0.552484,100000,3.403352
665, 100000,0.403104,100000,3.694555
666, 100000,0.302038,100000,4.218689
667, 100000,0.500415,100000,3.851698
668, 100000,0.442261,100000,3.880441
669, 100000,0.494283,100000,3.429752
670, 100000,0.206946,100000,4.534899
671, 100000,0.699440,100000,3.327775
672, 100000,0.660339,100000,3.555554
673, 100000,0.568440,100000,3.432091
674, 100000,0.582606,100000,3.293996
675, 100000,0.659340,100000,3.418434
676, 100000,0.565719,100000,3.281794
677, 100000,0.326311,100000,4.061537
678, 100000,0.583904,100000,3.357096
679, 100000,0.321468,100000,3.963690
680, 100000,0.329377,100000,4.122155
681, 100000,0.590715,100000,6.316847
682, 100000,0.679598,100000,6.555818
683, 100000,0.321566,100000,3.745051
684, 100000,0.700509,100000,3.098900
685, 100000,0.701347,100000,4.564045
686, 100000,0.437826,100000,3.735703
687, 100000,0.522050,100000,3.618677
688, 100000,0.485000,100000,4.116321
689, 100000,0.348012,100000,4.812524
690, 100000,0.751876,100000,3.097699
691, 100000,0.525055,100000,3.364106
692, 100000,0.529699,100000,3.341432
693, 100000,0.429429,100000,4.430120
694, 100000,0.567850,100000,3.478984
695, 100000,0.514588,100000,3.858570
696, 100000,0.432235,100000,3.580704
697, 100000,0.435544,100000,4.270907
698, 100000,0.508732,100000,3.532063
699, 100000,0.425232,100000,3.770619
700, 100000,0.387597,100000,4.266507
701, 100000,0.678232,100000,3.187999
702, 100000,0.712690,100000,3.576587
703, 100000,0.455701,100000,3.569169
704, 100000,0.503010,100000,3.796776
705, 100000,0.584486,100000,4.094493
706, 100000,0.540283,100000,3.334963
707, 100000,0.721744,100000,3.411579
708, 100000,0.479167,100000,3.383872
709, 100000,0.498730,100000,3.867471
710, 100000,0.473035,100000,3.718517
711, 100000,0.469443,100000,3.515760
712, 100000,0.508353,100000,3.517281
713, 100000,0.339517,100000,3.994205
714, 100000,0.454976,100000,5.127631
715, 100000,0.573431,100000,3.476569
716, 100000,0.597467,100000,3.386696
717, 100000,0.461649,100000,3.715473
718, 100000,0.425042,100000,4.395108
719, 100000,0.431906,100000,3.854880
720, 100000,0.683278,100000,3.594125
721, 100000,0.532444,100000,4.001639
722, 100000,0.477118,100000,4.552917
723, 100000,0.616038,100000,3.670612
724, 100000,0.468251,100000,3.988201
725, 100000,0.576462,100000,3.466977
726, 100000,0.626687,100000,3.308944
727, 100000,0.576337,100000,4.125523
